trackid,track_name,track_artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1tm7c4V0kqLiN0XPVnoUcT,Runnin' Thru the 7th with My Woadies,"['$uicideboy$', 'Pouya']",0.686,0.621,-7.243,0.187,0.0656,0.000221,0.139,0.187,112.082
5U5QLfYdaDd6frf5I70Xqs,"L.O.V.E. (feat. EARTHGANG, Jon Batiste & Sherwyn)",['Yung Bae'],0.81,0.786,-4.833,0.0485,0.000312,0,0.23,0.642,111.056
342xhiMfFuR0zXbG35VIjy,Straight Up Relaxin' (feat. Cosmo's Midnight),"['Yung Bae', ""Cosmo's Midnight""]",0.674,0.667,-7.212,0.3,0.0677,3.67e-06,0.125,0.715,110.004
0zYkf4pCiGAhEp5Z3iUkml,'Til It's Over,['Anderson .Paak'],0.745,0.647,-9.494,0.119,0.175,0.000309,0.0529,0.395,144.014
6LXIhiXK8z1KLd3giR904b,Smells Like Me,['Charlie Puth'],0.602,0.565,-6.498,0.0498,0.329,0,0.0622,0.609,208.038
72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,"['Elton John', 'Britney Spears']",0.667,0.75,-4.602,0.0906,0.0746,0.000198,0.197,0.486,126.041
6X6fJzF0BGbUk6mhqNvgZZ,re: Stacks - Spotify Singles,['Noah Cyrus'],0.561,0.299,-11.392,0.0315,0.837,0.000143,0.357,0.107,123.92
7n5LJO27QLW54MmCU8ok2e,dark until september.,['will hyde'],0.754,0.448,-9.52,0.0385,0.639,7.03e-05,0.315,0.191,120.115
06rX4GEEjsVTSbRBWycs2U,The Worst Of You,"['PJ Harding', 'Noah Cyrus']",0.555,0.35,-10.955,0.0503,0.791,6.64e-06,0.11,0.404,77.772
0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,['flora cash'],0.713,0.452,-9.638,0.0295,0.841,0.0038,0.105,0.235,102.963
754kgU5rWscRTfvlsuEwFp,Kiss Me,['Sixpence None The Richer'],0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982
0eLXdwrMjL7kHzpob9zXli,Life Was Easier When I Only Cared About Me,['Bad Suns'],0.628,0.912,-4.785,0.0356,0.0067,0.00646,0.136,0.746,139.98
5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),['J. Cole'],0.861,0.656,-7.867,0.425,0.104,0,0.0986,0.331,88.967
79dt40lQLm46E1WPVYLvTO,Moonrock,['Bryce Vine'],0.671,0.746,-3.769,0.0508,0.371,5.69e-06,0.159,0.71,75.469
34Tmk8gwlRRegVVZDRxXxk,Happiness (Dance Floor Edit),['The 1975'],0.67,0.895,-5.294,0.0352,0.0943,0.0322,0.305,0.897,118.002
5HH4smD2ZGTGx0H7rHTutW,Wish You Were Here,['Jack Newsome'],0.759,0.66,-6.44,0.0543,0.117,5.42e-05,0.103,0.715,87.965
27sBcXtgTBSJRdUxei1a7J,Sexy Villain,['Remi Wolf'],0.766,0.539,-4.927,0.0479,0.402,0,0.104,0.888,120.175
1ifDCTBUJPTLBXEezngbvr,Object Permanence,['Eyas'],0.419,0.845,-6.116,0.12,0.017,0.016,0.191,0.536,164.193
6bvpSJz2NhP3ZtfBiJBqlL,Locals,['IshDARR'],0.777,0.452,-9.834,0.121,0.294,0,0.115,0.358,120.038
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,['Beyoncé'],0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042
5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,['Beyoncé'],0.693,0.887,-5.039,0.0795,0.0581,2.71e-06,0.27,0.864,114.942
5YbPxJwPfrj7uswNwoF1pJ,Last Last,['Burna Boy'],0.795,0.565,-4.457,0.0948,0.131,0,0.0802,0.55,87.925
0ZAbupc7jAQpG9IxojQ3s3,Cocaine Jesus,['Rainbow Kitten Surprise'],0.822,0.362,-7.462,0.0411,0.16,0,0.313,0.159,119.903
0GNVXNz7Jkicfk2mp5OyG5,Stick Season,['Noah Kahan'],0.664,0.5,-6.935,0.0651,0.799,0,0.0966,0.801,117.896
5FNJiPBOLjoD1FiUHyKjxb,I Ain't The Same,['Alabama Shakes'],0.452,0.725,-3.457,0.0434,0.22,0.000345,0.0672,0.705,106.152
7oJPmo2YL566okOf1RQcCp,luv(drunk),['Conro'],0.807,0.836,-4.359,0.0359,0.0434,0.396,0.113,0.962,120.057
5hc71nKsUgtwQ3z52KEKQk,Somebody Else,['The 1975'],0.61,0.788,-5.724,0.0585,0.195,0.0142,0.153,0.472,101.045
3LtpKP5abr2qqjunvjlX5i,Doja,['Central Cee'],0.911,0.573,-7.43,0.288,0.38,0,0.403,0.972,140.04
5bLGQqcpsz5ISWeihZfJnR,Are You Entertained (feat. Ed Sheeran),"['Russ', 'Ed Sheeran']",0.587,0.61,-6.881,0.234,0.0402,0,0.167,0.556,130.063
4MYVPz0rYU0jhT5HtFQni3,I Could Do This All Night,['Ben Kessler'],0.825,0.605,-8.926,0.0412,0.0577,4.27e-05,0.036,0.904,121.959
15IfeWfzxJtcKBgx6oDHvl,Blur,['dhruv'],0.747,0.789,-3.789,0.039,0.0651,2.42e-05,0.0727,0.646,118.035
2FcbwSTgbQeweZv0bA9hI7,Holy Water,['Noah Davis'],0.583,0.461,-9.155,0.0423,0.0551,0,0.103,0.17,122.904
5uDo40mspcWNHDCLlKTLoJ,Let Us Die,['King Princess'],0.516,0.726,-4.516,0.0456,0.0211,0,0.0856,0.503,152.089
6GD1eomgaGT1Epto6Q5eAo,golden hour,['JVKE'],0.511,0.594,-4.799,0.0316,0.651,0.177,0.249,0.143,94.473
28qA8y1sz0FTuSapsCxNOG,Father Time (feat. Sampha),['Kendrick Lamar'],0.514,0.779,-4.365,0.344,0.181,0,0.099,0.517,152.869
2g6tReTlM2Akp41g0HaeXN,Die Hard,['Kendrick Lamar'],0.775,0.736,-8.072,0.247,0.319,0.00116,0.127,0.362,100.988
6BU1RZexmvJcBjgagVVt3M,Count Me Out,['Kendrick Lamar'],0.776,0.431,-7.544,0.091,0.671,0,0.153,0.495,133.999
4iYRa2btalAzPZoSYfROqF,XXX. FEAT. U2.,['Kendrick Lamar'],0.568,0.619,-6.899,0.414,0.138,1.67e-06,0.11,0.293,170.115
0fX4oNGBWO3dSGUZcVdVV2,N95,['Kendrick Lamar'],0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956
1QPreu0BNOrUfEb8HTd2qG,Rich Spirit,['Kendrick Lamar'],0.852,0.421,-9.153,0.208,0.428,2.28e-06,0.106,0.457,95.977
0HfrMtru5FIDJj4PsTJUzN,Mile High,"['Public Library Commute', 'Mills']",0.702,0.67,-8.523,0.0363,0.515,0.112,0.104,0.723,96.017
