trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0GNVXNz7Jkicfk2mp5OyG5,0.664,0.5,-6.935,0.0651,0.799,0,0.0966,0.801,117.896,Rap/Hip Hop
5FNJiPBOLjoD1FiUHyKjxb,0.452,0.725,-3.457,0.0434,0.22,0.000345,0.0672,0.705,106.152,Alternative
7oJPmo2YL566okOf1RQcCp,0.807,0.836,-4.359,0.0359,0.0434,0.396,0.113,0.962,120.057,Pop
5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,-5.724,0.0585,0.195,0.0142,0.153,0.472,101.045,Alternative
3LtpKP5abr2qqjunvjlX5i,0.911,0.573,-7.43,0.288,0.38,0,0.403,0.972,140.04,Alternative
5bLGQqcpsz5ISWeihZfJnR,0.587,0.61,-6.881,0.234,0.0402,0,0.167,0.556,130.063,Pop
4MYVPz0rYU0jhT5HtFQni3,0.825,0.605,-8.926,0.0412,0.0577,4.27e-05,0.036,0.904,121.959,Pop
15IfeWfzxJtcKBgx6oDHvl,0.747,0.789,-3.789,0.039,0.0651,2.42e-05,0.0727,0.646,118.035,Alternative
2FcbwSTgbQeweZv0bA9hI7,0.583,0.461,-9.155,0.0423,0.0551,0,0.103,0.17,122.904,Alternative
5uDo40mspcWNHDCLlKTLoJ,0.516,0.726,-4.516,0.0456,0.0211,0,0.0856,0.503,152.089,Pop
6GD1eomgaGT1Epto6Q5eAo,0.511,0.594,-4.799,0.0316,0.651,0.177,0.249,0.143,94.473,Pop
28qA8y1sz0FTuSapsCxNOG,0.514,0.779,-4.365,0.344,0.181,0,0.099,0.517,152.869,Pop
2g6tReTlM2Akp41g0HaeXN,0.775,0.736,-8.072,0.247,0.319,0.00116,0.127,0.362,100.988,Alternative
6BU1RZexmvJcBjgagVVt3M,0.776,0.431,-7.544,0.091,0.671,0,0.153,0.495,133.999,Alternative
4iYRa2btalAzPZoSYfROqF,0.568,0.619,-6.899,0.414,0.138,1.67e-06,0.11,0.293,170.115,Rap/Hip Hop
0fX4oNGBWO3dSGUZcVdVV2,0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,Rap/Hip Hop
1QPreu0BNOrUfEb8HTd2qG,0.852,0.421,-9.153,0.208,0.428,2.28e-06,0.106,0.457,95.977,Pop
0HfrMtru5FIDJj4PsTJUzN,0.702,0.67,-8.523,0.0363,0.515,0.112,0.104,0.723,96.017,Pop
7qfZ0ViYLmV3MKeZ0Z7htT,0.794,0.766,-3.894,0.0377,0.0135,0,0.0785,0.55,127.007,Electro
3IUiA6msgyFl3f8kzbdgQP,0.663,0.827,-3.135,0.0372,0.0185,0.00104,0.265,0.395,104.985,Pop
6LNoArVBBVZzUTUiAX2aKO,0.546,0.64,-5.582,0.37,0.0438,0,0.137,0.63,137.728,African Music
0prcukTRGW4cP0OdoTqe7z,0.585,0.331,-11.313,0.0715,0.0649,0.000268,0.339,0.426,121.068,Pop
3TwAePhxn7pwkdHNwpWgvp,0.71,0.867,-5.489,0.0399,0.0514,0.0195,0.229,0.423,103.036,Pop
34itnB3u4NTwj9ctVfiPmC,0.68,0.638,-6.324,0.0366,0.0352,0,0.137,0.23,110.004,Electro
5rZlwNFl01HqLWBQGryKSm,0.48,0.602,-6.335,0.368,0.487,0,0.0848,0.269,179.798,Pop
35DHCZvQcy8PIM0eJmVS1X,0.655,0.815,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,Jazz
2mKz0wGscPw1xnTvrTlQUi,0.712,0.53,-9.842,0.0444,0.66,0.512,0.129,0.496,118.994,Rap/Hip Hop
6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,R&B
29d0nY7TzCoi22XBqDQkiP,0.625,0.533,-11.903,0.0596,0.659,0.00266,0.0546,0.139,108.296,Folk
7DwcBgdzqhFJltEaV1XF81,0.669,0.773,-5.619,0.153,0.038,0,0.113,0.377,93.923,Rock
0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,-6.009,0.0751,0.121,0,0.121,0.472,100.964,Pop
3kc9fFPBuP9DX9YCv0Gi0e,0.614,0.653,-5.854,0.0348,0.191,0,0.0659,0.382,143.914,Rap/Hip Hop
6uvh0In7u1Xn4HgxOfAn8O,0.507,0.294,-10.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199,Alternative
40iJIUlhi6renaREYGeIDS,0.666,0.465,-8.545,0.26,0.0503,0,0.215,0.292,167.937,Electro
6LxSe8YmdPxy095Ux6znaQ,0.636,0.566,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894,Electro
6vs83ufnw4IVbotV0qv6C8,0.472,0.683,-6.007,0.0694,0.0243,0,0.163,0.197,85.045,R&B
6QLNcOI6YCqdLAS6GLWXMj,0.693,0.728,-6.065,0.0335,0.0174,7.2e-06,0.061,0.655,95.978,R&B
3z2on8MIqR36OwtwI2aTtr,0.625,0.692,-9.055,0.0302,0.00334,0.000278,0.625,0.68,131.963,R&B
2L79zW9LUnohYifrJDPBtg,0.476,0.686,-7.558,0.0511,0.319,0.703,0.122,0.472,172.055,R&B
2E51gp6rrOPtfvmrk6wIL5,0.618,0.565,-6.717,0.222,0.15,3.37e-06,0.0996,0.858,159.874,Pop
2wJ1eOCIBwoQiN7xQtrTAY,0.673,0.729,-5.664,0.029,0.000983,0.000107,0.226,0.482,112.535,Alternative
5tm0PjvJrLgWlePHirgmo2,0.79,0.83,-5.994,0.0457,0.0617,8.23e-05,0.0802,0.771,119.967,Country
16taCB30HVklj9we8lMn3E,0.735,0.731,-5.526,0.0448,0.153,0.000136,0.149,0.94,150.074,Alternative
1TDeDFUYHjZKLsO6bzoVg1,0.541,0.607,-7.174,0.0482,0.282,0,0.193,0.548,79.974,Alternative
3OM6qQmdFV6uy61GIqpRtf,0.719,0.461,-8.191,0.0454,0.279,0,0.0875,0.548,123.915,Rap/Hip Hop
4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,Rap/Hip Hop
40gooTta3y4FgzXaMOGDJL,0.722,0.706,-4.552,0.0314,0.328,0,0.108,0.715,114.983,Rap/Hip Hop
44kiDYXBx8Iju8iQPyldmO,0.725,0.694,-5.49,0.039,0.0566,4.54e-05,0.468,0.819,117.962,Rap/Hip Hop
3Gplr4iOpewQ9ynbZujzlu,0.707,0.735,-5.237,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965,Rap/Hip Hop
6mh1v2YKd7cMe7ra7m37SB,0.902,0.569,-6.31,0.141,0.00893,0.000112,0.0655,0.664,114.979,Rap/Hip Hop
4ZaXaOcUscPNx546exx7Bm,0.763,0.456,-11.165,0.168,0.0268,0.00607,0.106,0.45,74.987,Rap/Hip Hop
4pvUifF5EPmy70TsS7nDI7,0.876,0.537,-6.521,0.341,0.281,0,0.269,0.845,125.0,Rap/Hip Hop
3SlzwAZ8BH5xZvfQjpSChY,0.706,0.468,-7.326,0.0253,0.13,0.00135,0.102,0.768,105.015,Rap/Hip Hop
0BLY78hYpsH9NqP6X0N8CX,0.622,0.736,-6.219,0.0444,0.0156,0,0.112,0.432,97.006,Pop
