trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
1f00vUersqOoaOTmXZ0N5Q,0.772,0.759,-9.305,0.0594,0.0163,0.277,0.085,0.449,128.002,electronic dance music,Dance
6U0yPo1UvnR7YyKeFLqBYk,0.703,0.819,-6.579,0.0553,0.0203,0.782,0.0712,0.468,100.997,electronic dance music,Dance
1GTFU5LWvgyVf9Dno5199s,0.922,0.822,-4.224,0.141,0.0137,0.000108,0.0453,0.671,122.011,electronic dance music,Dance
18kYsXi1YDzYfbDhUCLGJ3,0.581,0.888,-6.369,0.0382,0.00156,0.000112,0.0988,0.291,124.96,electronic dance music,Dance
2nx0EIlIKMnMgWnj40O0HQ,0.511,0.635,-6.591,0.116,0.127,0.0,0.0866,0.381,111.329,electronic dance music,Dance
3uBtI7jVOtZrJN9zk3Bvop,0.413,0.986,-1.61,0.0832,0.000989,0.0141,0.382,0.106,127.264,electronic dance music,Electro
4xcnF8r49cAgMjl7heL4Qk,0.8,0.939,-7.198,0.046,0.00654,0.898,0.0561,0.567,124.996,electronic dance music,Dance
4LcgJ3e5qbBs9UOGOMdPZ0,0.652,0.805,-4.091,0.0907,0.0622,0.0,0.104,0.237,125.04,electronic dance music,Electro
1wjQEAV31X26Za9KRAmqwz,0.64,0.903,-7.577,0.0358,0.000766,0.632,0.0636,0.0357,122.016,electronic dance music,Dance
4aG8Y7XSD9C8X0fuiCCTz9,0.721,0.652,-11.432,0.0521,0.111,0.000831,0.381,0.432,121.965,electronic dance music,Electro
6uPeArwrUUsXQF3zDkmZDm,0.465,0.724,-6.862,0.0372,0.00298,0.645,0.0837,0.0354,174.009,electronic dance music,Electro
3bNIlJBpwgwFNnFuSjH6Uh,0.754,0.877,-4.544,0.176,0.189,0.0,0.265,0.649,122.001,electronic dance music,Electro
7j1zra4d3WPomwqlqThdtW,0.148,0.578,-9.807,0.0431,0.636,0.957,0.227,0.0758,210.564,electronic dance music,Dance
0EYpAtOU6iLaX6vbuU8zw9,0.555,0.903,-7.544,0.0456,0.000546,0.781,0.0574,0.358,124.981,electronic dance music,R&B
